obj,endobj,stream,endstream,xref,trailer,startxref,Page,Encrypt,ObjStm,JS,Javascript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,Colors,Obfuscations,Class
8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,0,malicious
9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
9,9,2,2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,malicious
8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
4,4,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
15,15,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,0,malicious
13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,0,malicious
8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
4,4,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
4,4,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,malicious
19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,0,malicious
15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,malicious
